Claim ID,Date of Claim,Claim Amount,Claim Status,Reason for Claim,Settlement Date,Policy ID,Claim Settlement Days,Claim Settlement Buckets
CLM31056262,44649,23032,Denied,Make former course early.,44706,POL64631990,57,<60 Days
CLM00991845,44903,41355,Pending,Young many material home community relationship child.,44992,POL58623707,89,<90 Days
CLM30471465,44433,41318,Pending,Soldier machine maybe himself Congress.,44515,POL53549003,82,<90 Days
CLM47588977,44919,9905,Pending,Poor hand short whom.,44980,POL53367790,61,<90 Days
CLM42755797,43987,24061,Pending,Total price law.,44019,POL84360532,32,<60 Days
CLM78382108,44647,32003,Pending,Trial nor court.,44702,POL47639612,55,<60 Days
CLM46996494,43837,6244,Denied,Which book let ahead get word.,43856,POL25834055,19,<30 Days
CLM48003831,43975,44669,Approved,Quite baby too candidate mother trouble.,44023,POL76080858,48,<60 Days
CLM25814496,44803,74414,Pending,Success huge stage ask fine feel down.,44884,POL74554228,81,<90 Days
CLM72086906,45322,13034,Pending,Decade thus prevent human white thus health camera.,45363,POL90564475,41,<60 Days
CLM35297198,45377,75000,Approved,Energy think decide officer.,,POL26961940,0,Not Settled
CLM38998313,44625,75790,Denied,Artist listen get.,44708,POL38363742,83,<90 Days
CLM58652731,44899,39822,Denied,Good well green while career in.,,POL22111965,0,Not Settled
CLM06542172,45257,98238,Denied,City current action town they by modern entire.,45326,POL81937503,69,<90 Days
CLM00567749,45274,77654,Pending,Yet church plan image.,,POL44711941,0,Not Settled
CLM12381856,44745,55810,Approved,High same area parent themselves.,44811,POL06565717,66,<90 Days
CLM41390400,44554,73121,Approved,Weight fall night happen effort yard Congress.,44601,POL22122728,47,<60 Days
CLM81465495,44679,84578,Denied,White meeting method present stuff find.,44766,POL83435156,87,<90 Days
CLM12096379,44995,23424,Pending,Teacher move owner first.,,POL22271139,0,Not Settled
CLM97649973,45388,39854,Approved,Hospital wife cold action world black.,45418,POL86049888,30,<30 Days
CLM92911263,44420,8721,Pending,Knowledge none why magazine key.,,POL29685812,0,Not Settled
CLM28776094,44768,75052,Denied,Other control available begin level actually claim.,44839,POL27435543,71,<90 Days
CLM30678337,44603,56660,Denied,Check day industry analysis modern.,44614,POL51620232,11,<30 Days
CLM17631673,44173,12139,Pending,Poor then lawyer.,44188,POL21871449,15,<30 Days
CLM62233465,44218,75831,Denied,Begin you improve able order response probably.,44300,POL88263060,82,<90 Days
CLM76520610,44525,12490,Approved,Station get open risk happen unit office building.,44565,POL04837231,40,<60 Days
CLM41405804,45275,35546,Denied,Threat manage though star forget force generation.,45357,POL93077983,82,<90 Days
CLM16209932,44697,15224,Pending,Movement gas wind.,,POL13412239,0,Not Settled
CLM26242068,44538,20229,Approved,Official recently goal office.,,POL21888730,0,Not Settled
CLM21501531,44750,37558,Approved,Attention front these red process authority world.,44834,POL45056410,84,<90 Days
CLM54412018,44986,42583,Denied,The religious and when effort research staff.,45052,POL16668072,66,<90 Days
CLM83658854,45010,96523,Pending,Design world shake.,45052,POL29858612,42,<60 Days
CLM50001520,44219,47096,Denied,Far concern why.,,POL04610081,0,Not Settled
CLM37058241,44832,22790,Pending,Put dog recent.,44843,POL19532067,11,<30 Days
CLM43833411,45236,47293,Approved,By suggest force hot.,45282,POL14005154,46,<60 Days
CLM97825869,45039,10651,Pending,Away figure mean such.,45072,POL74661339,33,<60 Days
CLM03162482,43947,24743,Denied,It discover during month pick yourself.,43983,POL42467906,36,<60 Days
CLM98266394,45191,38946,Approved,Less term within box factor answer.,,POL85605519,0,Not Settled
CLM24436561,44295,29033,Pending,Prepare that indicate yes tree by.,44378,POL06176964,83,<90 Days
CLM56818488,45002,6413,Approved,Term rise perhaps far expert.,,POL04817251,0,Not Settled
CLM87249936,45197,45136,Pending,Two air expert for goal college spring.,45210,POL01386021,13,<30 Days
CLM42083075,44488,40663,Pending,Size success recognize mean not thus.,44526,POL91241306,38,<60 Days
CLM28561224,44864,98150,Denied,Expect itself throw blood.,44928,POL31757726,64,<90 Days
CLM53009927,44554,57796,Pending,Get condition together audience report long.,44627,POL06836904,73,<90 Days
CLM80730402,44133,35892,Denied,Including relationship yard tell knowledge food man.,44159,POL76432131,26,<30 Days
CLM09662093,45359,29975,Pending,Final what southern easy of.,45380,POL98472964,21,<30 Days
CLM50411558,45185,10079,Pending,Ability him maybe wish.,,POL83630860,0,Not Settled
CLM02152861,43919,65264,Pending,Answer media could either.,43934,POL29474046,15,<30 Days
CLM07681863,45348,69444,Approved,This class figure third.,45408,POL88242759,60,<60 Days
CLM94077662,44639,66266,Denied,Whether country write hot.,44683,POL93012338,44,<60 Days
CLM41885790,43969,6804,Approved,Activity new conference wide do note look.,,POL00148188,0,Not Settled
CLM61554321,44936,84048,Denied,Let write value explain car.,44980,POL51550482,44,<60 Days
CLM98661344,45138,46249,Pending,Particularly into nearly feeling.,,POL30896226,0,Not Settled
CLM58435038,43848,17885,Approved,Away itself method adult father.,43937,POL23594772,89,<90 Days
CLM62264368,44957,58886,Approved,Near now girl respond they.,44993,POL19560921,36,<60 Days
CLM04558776,44370,25623,Denied,Like month list cup trouble.,44422,POL96527583,52,<60 Days
CLM15041078,44283,44274,Pending,Myself special art once character wait allow.,44312,POL02586223,29,<30 Days
CLM11826471,44954,42367,Pending,Explain somebody defense worker.,45032,POL69427919,78,<90 Days
CLM65493196,44533,63757,Approved,Citizen hospital deal exist step reach.,44600,POL25507617,67,<90 Days
CLM23442492,44065,84673,Pending,Glass message figure well.,44150,POL71852289,85,<90 Days
CLM24211793,44125,61189,Denied,Meeting value these who.,,POL33326034,0,Not Settled
CLM14223485,44376,79263,Pending,Improve total contain.,44461,POL22181403,85,<90 Days
CLM02733326,43888,29118,Approved,Senior next together finally.,43959,POL69716653,71,<90 Days
CLM35925046,44826,47106,Pending,Matter interest son shoulder.,44852,POL07053234,26,<30 Days
CLM91499275,44069,98950,Pending,Then organization bar bit old set.,44158,POL62805195,89,<90 Days
CLM60052091,44002,72248,Pending,Score sometimes way whose.,44066,POL95905175,64,<90 Days
CLM33859743,44819,54576,Pending,Part law cultural able during product mother.,,POL06336076,0,Not Settled
CLM18127741,45402,8022,Denied,Country small newspaper admit again true.,45436,POL23986344,34,<60 Days
CLM51916149,43959,78923,Approved,Nature them game hundred nearly turn door.,44001,POL17421087,42,<60 Days
CLM32089375,44065,98496,Approved,Part without across.,,POL24807912,0,Not Settled
CLM33589686,43914,17124,Approved,Adult reduce fine determine.,43990,POL76891584,76,<90 Days
CLM24613397,44944,93535,Approved,Million exactly police show.,44961,POL82791377,17,<30 Days
CLM76561947,44215,49161,Pending,Stand property friend paper.,,POL37930238,0,Not Settled
CLM02133484,43978,80472,Approved,She but education every use however.,44013,POL17396373,35,<60 Days
CLM13279496,44655,13226,Denied,Win attention need because long indicate.,44703,POL58715038,48,<60 Days
CLM64991856,44685,77955,Approved,Level bill smile everybody travel up drop.,44725,POL91116374,40,<60 Days
CLM29080674,43860,78799,Approved,Another even right surface according ok.,,POL30587921,0,Not Settled
CLM35823501,45324,6795,Denied,Gas send usually police strong push.,45354,POL65284354,30,<30 Days
CLM78245974,45625,10134,Pending,Relationship property cell the.,,POL30316596,0,Not Settled
CLM03805204,44314,87757,Approved,House image choose foot want.,44381,POL58294071,67,<90 Days
CLM00449639,44583,36953,Pending,Thus central can Mr.,,POL69712640,0,Not Settled
CLM71877849,43921,54376,Pending,Some worry decision current fish card section.,44005,POL59329261,84,<90 Days
CLM26396669,44758,36276,Pending,Soon stock food market town community central.,44818,POL79867486,60,<60 Days
CLM10012893,44498,39422,Denied,Something whose general nation business he.,,POL08751578,0,Not Settled
CLM75629497,43844,34260,Denied,Theory song husband particular race miss how.,43929,POL09652123,85,<90 Days
CLM64755459,44639,68196,Pending,Bit memory month bill receive individual.,44695,POL94407943,56,<60 Days
CLM09054039,44778,13039,Denied,Often know or detail blue.,44853,POL78473646,75,<90 Days
CLM44293931,44018,99230,Denied,Less speech everything including miss.,44096,POL26020657,78,<90 Days
CLM43360009,44179,91798,Denied,Include compare oil however material green.,44253,POL45378265,74,<90 Days
CLM89182727,44249,69511,Pending,Amount technology world certainly experience understand budget.,,POL32232315,0,Not Settled
CLM72374653,45388,98906,Denied,Pass life rise type design face worker.,,POL30601696,0,Not Settled
CLM38546243,45627,63977,Pending,Imagine teacher standard none.,45668,POL03033132,41,<60 Days
CLM54208772,45380,68101,Denied,Him score as public property southern carry possible.,45450,POL34491800,70,<90 Days
CLM88831922,44035,56431,Pending,Drop official community hold treatment blue share.,44123,POL77086340,88,<90 Days
CLM31292751,44648,25581,Denied,Argue art inside laugh scientist.,,POL47598430,0,Not Settled
CLM48207989,45258,99227,Denied,Small off note but somebody wear possible.,,POL47359207,0,Not Settled
CLM16276321,45576,54017,Denied,Degree it song fight song.,,POL01090154,0,Not Settled
CLM32054725,45287,30232,Pending,Our for while popular voice TV.,45374,POL03671194,87,<90 Days
CLM98928305,44343,11894,Pending,Rise century well born human commercial by.,44416,POL79392367,73,<90 Days
CLM87432991,45394,73765,Approved,It fund fear outside Congress choose top.,45412,POL29477661,18,<30 Days
CLM79254118,45145,83430,Denied,Own view will compare author.,45165,POL60645383,20,<30 Days
CLM83060529,44797,46993,Denied,Few pay hospital shake Democrat south lot figure.,44852,POL77321123,55,<60 Days
CLM84140194,43822,47355,Denied,Teacher PM step population tree community voice.,,POL11298880,0,Not Settled
CLM96945711,45115,21802,Approved,Suggest kind court science ready economic.,45149,POL51777585,34,<60 Days
CLM92799797,44762,43260,Approved,Court brother then able start.,44792,POL08689656,30,<30 Days
CLM78059335,44652,66198,Denied,Seat if real.,,POL75133618,0,Not Settled
CLM85991279,44847,50868,Pending,Off style speech activity maybe.,44864,POL81184325,17,<30 Days
CLM84187678,44473,85496,Pending,Interview science increase their skill.,,POL90564475,0,Not Settled
CLM35897563,44750,97445,Approved,Process war tax hold.,44760,POL84921954,10,<30 Days
CLM10207195,44744,38086,Pending,Subject common charge four team line.,,POL50481637,0,Not Settled
CLM14072953,44126,70405,Denied,Authority realize glass from quality amount.,44192,POL98412521,66,<90 Days
CLM59427405,43920,57828,Approved,Term message alone also none.,43978,POL50064094,58,<60 Days
CLM16715617,44484,13765,Denied,Half easy single realize number scientist stop.,,POL62321649,0,Not Settled
CLM48657974,44019,57537,Approved,Staff so see success.,,POL43090957,0,Not Settled
CLM32472202,45167,20015,Pending,Race sound minute data.,45213,POL93569527,46,<60 Days
CLM55864543,44501,69093,Pending,Hear kid position food.,44565,POL22946424,64,<90 Days
CLM16031446,43924,99521,Pending,Exactly everyone image.,43950,POL57782466,26,<30 Days
CLM93095173,45231,74069,Pending,Month avoid process blood senior information so.,,POL69638846,0,Not Settled
CLM79800842,44806,44088,Denied,War who statement drop.,44831,POL49945378,25,<30 Days
CLM41726506,45603,18612,Pending,Work service modern understand enjoy.,,POL03623063,0,Not Settled
CLM51570122,45226,78088,Approved,Section simple form go.,45284,POL41495893,58,<60 Days
CLM95964204,44426,70510,Approved,Exactly group analysis hour.,44442,POL16627282,16,<30 Days
CLM31116552,43969,81031,Approved,Throughout raise four suffer material.,44023,POL05225694,54,<60 Days
CLM13614798,44129,3962,Approved,Property case success experience artist.,,POL73721889,0,Not Settled
CLM78150655,44703,48774,Pending,Scene human white.,44755,POL07250865,52,<60 Days
CLM17300934,44450,35282,Pending,Create kid southern particular.,44521,POL94633881,71,<90 Days
CLM30684286,45520,4922,Denied,Business type stock sell into.,45584,POL43471833,64,<90 Days
CLM19092585,43927,52451,Approved,Test listen grow improve exactly.,44000,POL77940500,73,<90 Days
CLM51381209,45389,4820,Approved,Cover major wind power her senior.,45412,POL37640614,23,<30 Days
CLM35556907,43940,10834,Pending,Two describe TV.,43994,POL91701869,54,<60 Days
CLM71323344,44955,75632,Approved,Window statement stop buy employee pass challenge eight.,45042,POL26967918,87,<90 Days
CLM56424686,44669,79379,Denied,Manage scientist miss leave second.,,POL32168354,0,Not Settled
CLM97581512,45230,83172,Approved,Risk let open peace.,45299,POL75284988,69,<90 Days
CLM77640985,44089,10062,Approved,Per the practice modern.,,POL99518262,0,Not Settled
CLM38894136,44765,4818,Approved,Nation way particular important understand ready world.,44820,POL46375474,55,<60 Days
CLM14990609,44272,29116,Pending,Gas at food do try nature.,,POL18101915,0,Not Settled
CLM89148446,44928,64984,Denied,Over family car.,44969,POL94939680,41,<60 Days
CLM27485042,44639,60900,Pending,Staff difficult bill behind why recognize eye.,44689,POL35996382,50,<60 Days
CLM85303731,44672,67149,Pending,Enough development personal anyone everybody property.,44744,POL71220410,72,<90 Days
CLM85256499,45423,94463,Pending,Responsibility fight attorney bill ready probably side.,,POL62185307,0,Not Settled
CLM75889822,44616,18653,Denied,Through page high Democrat go nearly office room.,44701,POL58697691,85,<90 Days
CLM27505750,45110,67149,Approved,Skill because and despite follow pass.,45162,POL02976851,52,<60 Days
CLM97134916,44339,5459,Approved,Actually common article feeling.,44366,POL98989117,27,<30 Days
CLM37172596,44806,47426,Pending,Purpose couple trip foot.,44858,POL73436304,52,<60 Days
CLM04725761,44812,84085,Pending,Health single as indicate.,44827,POL80607251,15,<30 Days
CLM55897178,44769,15096,Denied,Note manage like identify letter.,,POL28314464,0,Not Settled
CLM44549046,44089,68253,Approved,Just perhaps consumer foreign city.,44155,POL46047482,66,<90 Days
CLM71806679,43976,63767,Pending,Direction economy court message build fish.,43991,POL74615400,15,<30 Days
CLM98714223,45320,85538,Denied,Piece reflect send big if clearly owner.,,POL42258270,0,Not Settled
CLM42682856,43971,35433,Denied,Campaign reality second compare.,43994,POL37879847,23,<30 Days
CLM75224830,44795,35886,Denied,Seem guy table realize.,44874,POL48812002,79,<90 Days
CLM09237293,45564,75090,Approved,Organization child stock bring thus between sort.,45635,POL52520227,71,<90 Days
CLM20847565,45525,12456,Pending,Now impact run accept.,45568,POL14234564,43,<60 Days
CLM10828206,45338,17616,Denied,Modern throw raise.,45413,POL88741326,75,<90 Days
CLM67886857,44890,97868,Pending,Left family would western know.,,POL88066577,0,Not Settled
CLM40679732,45601,30324,Denied,To surface action meet.,45649,POL75790395,48,<60 Days
CLM59805165,45150,79449,Pending,Season week member recent skill both hospital outside.,45198,POL26404554,48,<60 Days
CLM68417760,44965,98028,Approved,Day across why everyone beyond example.,,POL47986452,0,Not Settled
CLM37303516,44669,50674,Approved,Action commercial build.,44752,POL73588867,83,<90 Days
CLM50657516,44467,7124,Pending,Wear thus low.,,POL66994083,0,Not Settled
CLM38596699,45113,10982,Approved,Contain future bring without system local.,,POL20512215,0,Not Settled
CLM61834722,45203,32397,Approved,Anything assume fear sea discover.,,POL26021266,0,Not Settled
CLM48793626,45612,50738,Pending,Movie movement natural suggest science.,45639,POL77940500,27,<30 Days
CLM57909897,45456,88129,Approved,Side set great person high official.,45527,POL70490457,71,<90 Days
CLM25675820,44583,25338,Approved,Hold sign wonder must wonder note.,44665,POL12714870,82,<90 Days
CLM50580041,44108,65608,Approved,Society computer edge hundred answer TV carry.,44189,POL78507070,81,<90 Days
CLM79879006,44597,3805,Denied,Appear want focus political partner bed ground.,,POL39824076,0,Not Settled
CLM54427989,44445,39274,Approved,Full left bank law walk spend plan.,,POL45899805,0,Not Settled
CLM58584157,44501,85231,Approved,Threat current forward.,,POL86234151,0,Not Settled
CLM84966889,45320,9438,Approved,Case politics far owner population federal friend difference.,45355,POL25640269,35,<60 Days
CLM44502946,45100,84303,Pending,View picture sing effect information tend successful.,,POL44986450,0,Not Settled
CLM04672750,45222,32684,Pending,Skill each watch.,,POL37551406,0,Not Settled
CLM78939395,43910,76986,Denied,Positive go fire chair couple society nor.,43940,POL47455160,30,<30 Days
CLM88566832,45157,59867,Approved,Peace commercial policy lose step run form analysis.,45194,POL79812576,37,<60 Days
CLM59312357,44756,45109,Approved,Good budget write success.,44825,POL43307974,69,<90 Days
CLM18340231,44889,60818,Denied,None thank young grow.,44928,POL14316031,39,<60 Days
CLM40173835,44963,98935,Pending,Under car condition section various reveal minute cover.,,POL55617113,0,Not Settled
CLM19807051,45049,60546,Approved,Character across wait task.,,POL54674373,0,Not Settled
CLM43004264,45086,32644,Denied,West investment expect analysis oil exactly that local.,,POL92268094,0,Not Settled
CLM51274886,45297,44666,Pending,Task however magazine group gas there.,,POL26146635,0,Not Settled
CLM68048804,45329,91751,Denied,Hand blood lead offer significant describe.,,POL30420925,0,Not Settled
CLM18673365,45619,80266,Pending,Technology customer onto game interest safe.,,POL90584478,0,Not Settled
CLM96991116,45393,73330,Pending,Right pull then window professor.,45471,POL40755792,78,<90 Days
CLM74140153,44172,45683,Approved,Hotel majority political kind age city.,44257,POL34979754,85,<90 Days
CLM21471880,44284,37178,Approved,Manager teacher company myself mean goal.,44332,POL54775068,48,<60 Days
CLM29747373,44906,64980,Approved,Involve officer too happen movie deal.,44980,POL35014451,74,<90 Days
CLM70108670,45617,49839,Denied,Entire note important according carry.,45647,POL29474046,30,<30 Days
CLM53225518,44808,51665,Pending,Real central treat like none home.,,POL15046507,0,Not Settled
CLM16231559,44677,35139,Approved,State break notice almost until cell become.,44718,POL16772067,41,<60 Days
CLM41393751,44145,70179,Denied,Blood own to dinner bill everybody allow fire.,44201,POL39195359,56,<60 Days
CLM04627853,44386,96497,Denied,My investment understand marriage.,44444,POL80156705,58,<60 Days
CLM41095057,45057,37778,Denied,Knowledge talk opportunity join.,,POL35831200,0,Not Settled
CLM65675401,43836,18151,Approved,Machine sort particularly everything.,,POL56491969,0,Not Settled
CLM48945359,44141,97930,Pending,Garden appear time particularly say despite.,44158,POL07772335,17,<30 Days
CLM39494209,44193,83604,Denied,Green local their PM risk.,44262,POL96697698,69,<90 Days
CLM26051076,44494,32695,Pending,He experience thing participant agree behind.,,POL13079535,0,Not Settled
CLM63862685,45376,39172,Denied,Strategy investment teach herself.,45435,POL88066577,59,<60 Days
CLM34990763,45585,41052,Denied,Senior fish understand allow second why once.,45645,POL51104112,60,<60 Days
CLM37346620,44158,54125,Pending,Activity factor allow PM rock.,44227,POL76903743,69,<90 Days
CLM18355705,43832,5128,Denied,Else policy eat Democrat.,,POL21259654,0,Not Settled
CLM69726534,45254,76623,Denied,Care finally between.,,POL86315703,0,Not Settled
CLM39495879,43969,59169,Denied,Throw view region born test.,43985,POL02004502,16,<30 Days
CLM25905431,44235,30603,Approved,Ago could stand improve future.,44312,POL92010970,77,<90 Days
CLM01928945,45117,75846,Pending,When today add strategy music third debate method.,45169,POL15506424,52,<60 Days
CLM12851891,45094,54502,Approved,Rule game run culture.,45105,POL19587292,11,<30 Days
CLM71062069,44180,81822,Pending,Be all card fact later meet main soon.,,POL04951844,0,Not Settled
CLM65426767,44669,94988,Pending,Teacher own space unit.,,POL85853728,0,Not Settled
CLM65391261,45268,87651,Approved,Find account two some term pick reflect.,45320,POL57458461,52,<60 Days
CLM35201733,44844,13929,Denied,Participant imagine him exactly name traditional.,,POL19285022,0,Not Settled
CLM66948078,43895,50820,Pending,Year sign bring if.,43918,POL04297854,23,<30 Days
CLM94798052,44621,95976,Approved,West national vote number become difficult.,,POL83011095,0,Not Settled
CLM99096321,45611,7492,Denied,Road at time less put pattern.,45629,POL28544968,18,<30 Days
CLM90554567,45396,11873,Approved,Citizen expert sometimes system environmental white hard.,45468,POL20142865,72,<90 Days
CLM84680985,44366,7354,Approved,Call worry arrive together line if woman Mrs.,,POL45105855,0,Not Settled
CLM15812103,44593,95884,Denied,Sign itself during.,,POL97188917,0,Not Settled
CLM01545454,45271,29804,Approved,Agent include participant.,,POL27915739,0,Not Settled
CLM99605903,45639,58551,Approved,For purpose lot various certain course seek.,45651,POL12296231,12,<30 Days
CLM64020425,44155,20006,Approved,Necessary pressure since measure tree town among.,44216,POL45719981,61,<90 Days
CLM95628889,44296,75428,Pending,Hold find future individual write above situation.,44374,POL81202373,78,<90 Days
CLM93953275,44396,66700,Approved,Stay trade activity four true song.,44424,POL21114405,28,<30 Days
CLM95290564,45383,2310,Approved,Receive old doctor effect.,45412,POL17760836,29,<30 Days
CLM97147912,44838,86460,Pending,Product firm young ok.,44889,POL03121117,51,<60 Days
CLM98670694,44349,77202,Pending,Early grow fire lawyer.,44417,POL27435543,68,<90 Days
CLM39170222,44507,7894,Pending,Feeling education deep son.,44586,POL28741464,79,<90 Days
CLM51093278,43862,22424,Pending,Rather ask election.,,POL61267923,0,Not Settled
CLM98366043,45206,51835,Pending,Add drop particularly successful item.,,POL04549501,0,Not Settled
CLM43252153,44192,88942,Pending,Majority down reality nice reality.,44281,POL64169471,89,<90 Days
CLM31070524,45546,47987,Approved,Spring situation society president.,45558,POL62189642,12,<30 Days
CLM78560998,44558,91444,Approved,Time baby reflect as deal democratic.,,POL59177631,0,Not Settled
CLM20051030,44174,68953,Approved,Low style society development type often yes.,44242,POL78314103,68,<90 Days
CLM91463094,45552,65791,Denied,Gun us their figure.,45596,POL19885981,44,<60 Days
CLM11656573,44841,68511,Denied,Kid account space suggest candidate some.,44856,POL05606987,15,<30 Days
CLM70783263,43851,42365,Denied,Argue politics whatever teach.,43925,POL49351450,74,<90 Days
CLM87847367,44574,1602,Denied,Yes white market between drop series reality kind.,,POL33870479,0,Not Settled
CLM31914719,44965,40689,Approved,Long improve wait poor finish break.,,POL68371036,0,Not Settled
CLM60980002,44605,57387,Denied,Benefit speak back concern cultural.,,POL79106490,0,Not Settled
CLM84855769,45417,18444,Pending,Might member along help fish low social.,,POL79030894,0,Not Settled
CLM47153065,43837,83625,Pending,Father stage third.,43848,POL65612264,11,<30 Days
CLM67769470,45624,47705,Approved,Face talk way attorney nature so situation.,45700,POL81553263,76,<90 Days
CLM87221768,45479,80360,Approved,Piece population street.,45548,POL14320642,69,<90 Days
CLM74303277,44212,89697,Denied,Page hold two beautiful require.,44274,POL10704502,62,<90 Days
CLM33059065,43910,83862,Denied,Action space employee computer current rock.,,POL85997412,0,Not Settled
CLM73334117,45386,1364,Pending,Window card leg customer over family she.,45418,POL40919725,32,<60 Days
CLM56776331,44763,82343,Pending,Visit company data town say bill team just.,44853,POL02268206,90,<90 Days
CLM15378290,45221,49379,Pending,Effort magazine garden production production clearly try.,45262,POL03641837,41,<60 Days
CLM72889924,45481,65895,Approved,Practice house approach.,,POL20115045,0,Not Settled
CLM71349893,45603,22616,Approved,Pay or measure collection short price enough different.,45652,POL24286854,49,<60 Days
CLM57482406,44019,30250,Pending,Particularly color court work let smile for.,44030,POL29566487,11,<30 Days
CLM70275936,44427,72617,Denied,Break like establish wear line it relationship.,44515,POL58966996,88,<90 Days
CLM04796166,44851,10657,Denied,Your upon key just.,44921,POL96746963,70,<90 Days
CLM94068389,43890,55444,Denied,Else less so behavior feel day near threat.,,POL40650840,0,Not Settled
CLM48410204,44305,18332,Approved,Them campaign adult outside watch present scene.,44385,POL29859333,80,<90 Days
CLM67043862,45561,72795,Approved,List choose memory.,45642,POL27953445,81,<90 Days
CLM52159581,44842,24082,Denied,Everything anything throughout stage north left itself.,44884,POL43843486,42,<60 Days
CLM44881746,45466,2647,Approved,Maybe room recent safe themselves place only.,,POL19986234,0,Not Settled
CLM58130724,45374,24088,Pending,Pull level professional suggest work.,45457,POL91500527,83,<90 Days
CLM51472705,43974,76600,Denied,Company wait surface degree.,44023,POL83180478,49,<60 Days
CLM84448609,43979,68862,Pending,Kitchen method forget culture program their.,44013,POL38861643,34,<60 Days
CLM46815014,44038,56362,Denied,Common issue doctor social window manage.,,POL35373090,0,Not Settled
CLM87446072,44239,65523,Pending,Former into best believe stand hit.,44273,POL28804957,34,<60 Days
CLM76532424,45049,7352,Pending,Under prevent western drop five dream firm.,,POL77562289,0,Not Settled
CLM63979190,43924,98838,Denied,Walk quickly institution attack.,43943,POL86778558,19,<30 Days
CLM58192678,44334,83614,Pending,Require although ahead where should present foot the.,44404,POL52778521,70,<90 Days
CLM95825365,45463,77053,Denied,Lot fish green notice where front.,,POL76155355,0,Not Settled
CLM78399946,44558,42452,Approved,Stock mission where doctor until hotel.,44605,POL68041288,47,<60 Days
CLM68278017,44941,20081,Denied,Identify region hope full car we.,45011,POL16238853,70,<90 Days
CLM07307644,45269,14573,Pending,Light couple skin responsibility.,45350,POL98908747,81,<90 Days
CLM95588056,45252,10158,Pending,Television service hospital shake trip thought former.,,POL65038532,0,Not Settled
CLM87119172,44967,55408,Approved,Just figure would audience.,44991,POL52535973,24,<30 Days
CLM37673394,45110,88420,Pending,Economy project national natural really.,45175,POL79966692,65,<90 Days
CLM00648816,45514,18798,Denied,Name kind would pay.,,POL66183736,0,Not Settled
CLM51996360,44232,68936,Approved,Color property though everyone light.,44317,POL43817285,85,<90 Days
CLM73797043,44809,97481,Approved,Wait student must cost short add seek world.,,POL32342170,0,Not Settled
CLM76576282,44781,27811,Approved,Nor art not face everyone be chance.,44846,POL80884020,65,<90 Days
CLM30619882,45108,44878,Pending,Decade social rest trial when allow case.,45189,POL40907312,81,<90 Days
CLM18018368,44643,10112,Denied,Life three teach feel person.,,POL32150481,0,Not Settled
CLM24266854,45196,61301,Approved,Bar eat hundred race whether which.,,POL58356690,0,Not Settled
CLM68378415,43921,57100,Denied,Edge identify key kid when.,,POL06565717,0,Not Settled
CLM79291037,44096,10814,Denied,Maintain car technology rise.,,POL77104949,0,Not Settled
CLM19172836,44765,34343,Approved,Popular some share allow street edge.,44780,POL84536532,15,<30 Days
CLM72241531,44235,47522,Approved,More challenge suggest reality morning today.,,POL52660613,0,Not Settled
CLM82604993,44451,30457,Pending,Rate investment onto.,,POL87577770,0,Not Settled
CLM35776344,45204,86433,Denied,Building I run.,,POL83014329,0,Not Settled
CLM45500753,44788,53070,Denied,Large treatment conference hear financial.,44849,POL98213594,61,<90 Days
CLM06389580,45360,99923,Pending,Hit put single various operation the ago energy.,45412,POL14393103,52,<60 Days
CLM37339442,44815,51742,Pending,Cost trial personal trouble.,44837,POL63989865,22,<30 Days
CLM91007201,44004,2591,Pending,Eight military wind modern language young.,44061,POL42401961,57,<60 Days
CLM22871598,45019,52242,Denied,Long various ready analysis.,45106,POL01887189,87,<90 Days
CLM99265216,45176,40271,Approved,Production throughout develop must.,45207,POL98813677,31,<60 Days
CLM47259994,44499,37586,Denied,Upon relate shoulder beautiful.,44544,POL33232710,45,<60 Days
CLM35622892,43848,95342,Approved,Mean wall care finish state food education.,43905,POL96170199,57,<60 Days
CLM91110031,45244,16904,Denied,Measure agent industry show nature.,,POL01090154,0,Not Settled
CLM36731399,44856,75982,Pending,Evening training dinner today improve across.,,POL03884605,0,Not Settled
CLM12580457,44211,64302,Approved,Animal officer Congress.,,POL24233428,0,Not Settled
CLM24530336,45046,38930,Denied,Government with thought coach surface instead financial.,,POL34270146,0,Not Settled
CLM08749604,43981,65135,Approved,Up price direction speak.,44053,POL64820224,72,<90 Days
CLM88500726,44093,45034,Approved,Rather become product do them science radio tax.,,POL21103923,0,Not Settled
CLM93294680,44121,45040,Denied,Leg senior whose management street but.,,POL32734237,0,Not Settled
CLM36328561,43961,5450,Pending,Simple ball great tell not painting author.,44039,POL23193106,78,<90 Days
CLM39310696,45242,80232,Denied,Support wind your argue single product president.,,POL38002249,0,Not Settled
CLM25294972,45328,61808,Approved,Business career shoulder peace.,45400,POL43928223,72,<90 Days
CLM73953252,44457,69043,Pending,Check material attack arrive foreign agreement.,,POL39585916,0,Not Settled
CLM17403522,45269,76805,Approved,Idea child run western away voice.,45301,POL71458301,32,<60 Days
CLM65806168,44030,52685,Denied,Share training scene.,44106,POL25640269,76,<90 Days
CLM74082610,45481,7794,Denied,Meet hear coach mission your.,45498,POL46336502,17,<30 Days
CLM60158697,44333,18081,Denied,Soldier where we trade player.,44383,POL34097370,50,<60 Days
CLM29658337,45005,34993,Pending,Box contain air enter it sister.,45057,POL81437740,52,<60 Days
CLM23351240,44370,77176,Pending,This politics few order heart forward.,,POL87949298,0,Not Settled
