Agent ID,Renewal Status,Policy Discounts,Risk Score,Policy ID,Discount Buckets,Risk Score Buckets
AGT41949820,Not Renewed,44,96,POL19165656,>40%,Very High Risk(75+)
AGT22159387,Renewed,18,45,POL83494214,<20%,Medium Risk(<=50)
AGT57094942,Renewed,16,31,POL44698969,<20%,Medium Risk(<=50)
AGT00610173,Pending,34,52,POL03681890,<40%,High Risk(<=75)
AGT78932677,Renewed,22,13,POL82827765,<40%,Low Risk(<=25)
AGT35840667,Pending,7,32,POL58468979,<20%,Medium Risk(<=50)
AGT53770577,Not Renewed,14,63,POL04129775,<20%,High Risk(<=75)
AGT14110319,Renewed,34,9,POL05174448,<40%,Low Risk(<=25)
AGT08337546,Not Renewed,23,95,POL13757692,<40%,Very High Risk(75+)
AGT79130628,Pending,32,36,POL22546780,<40%,Medium Risk(<=50)
AGT98045301,Renewed,33,33,POL13870747,<40%,Medium Risk(<=50)
AGT44739041,Not Renewed,19,42,POL41691326,<20%,Medium Risk(<=50)
AGT87088719,Renewed,15,10,POL80649448,<20%,Low Risk(<=25)
AGT45603933,Pending,26,69,POL96055104,<40%,High Risk(<=75)
AGT12066319,Renewed,17,24,POL64820224,<20%,Low Risk(<=25)
AGT36736858,Not Renewed,15,72,POL23605253,<20%,High Risk(<=75)
AGT01985877,Pending,18,70,POL52061885,<20%,High Risk(<=75)
AGT52368266,Pending,15,80,POL54766419,<20%,Very High Risk(75+)
AGT42307078,Not Renewed,40,97,POL60396773,<40%,Very High Risk(75+)
AGT50531684,Not Renewed,22,56,POL39100560,<40%,High Risk(<=75)
AGT53760555,Not Renewed,14,53,POL73957943,<20%,High Risk(<=75)
AGT76320354,Pending,39,29,POL07510316,<40%,Medium Risk(<=50)
AGT98177414,Renewed,16,2,POL32316303,<20%,Low Risk(<=25)
AGT23123825,Pending,48,82,POL70355052,>40%,Very High Risk(75+)
AGT82962289,Pending,17,82,POL35831200,<20%,Very High Risk(75+)
AGT55917478,Pending,19,19,POL43810674,<20%,Low Risk(<=25)
AGT69112257,Renewed,41,4,POL29566487,>40%,Low Risk(<=25)
AGT78005125,Not Renewed,34,87,POL83125745,<40%,Very High Risk(75+)
AGT51687766,Pending,10,99,POL96105992,<20%,Very High Risk(75+)
AGT71225620,Pending,41,74,POL14232641,>40%,High Risk(<=75)
AGT95803695,Not Renewed,27,2,POL70276690,<40%,Low Risk(<=25)
AGT64216467,Renewed,38,89,POL83845394,<40%,Very High Risk(75+)
AGT95692283,Not Renewed,18,78,POL18936768,<20%,Very High Risk(75+)
AGT32542493,Renewed,18,62,POL88646934,<20%,High Risk(<=75)
AGT89233360,Pending,32,79,POL31150343,<40%,Very High Risk(75+)
AGT77609963,Not Renewed,2,94,POL77590064,<20%,Very High Risk(75+)
AGT37142335,Renewed,0,72,POL87958361,No Discount,High Risk(<=75)
AGT45378530,Not Renewed,9,57,POL01957491,<20%,High Risk(<=75)
AGT65973858,Pending,26,94,POL32669368,<40%,Very High Risk(75+)
AGT54072780,Not Renewed,39,95,POL47434227,<40%,Very High Risk(75+)
AGT63064118,Renewed,35,3,POL77202133,<40%,Low Risk(<=25)
AGT12774314,Not Renewed,44,99,POL47001756,>40%,Very High Risk(75+)
AGT99175092,Renewed,49,44,POL81675097,>40%,Medium Risk(<=50)
AGT82254002,Pending,26,65,POL87932414,<40%,High Risk(<=75)
AGT47758772,Pending,5,49,POL64120908,<20%,Medium Risk(<=50)
AGT52157385,Not Renewed,7,53,POL83057308,<20%,High Risk(<=75)
AGT10752762,Not Renewed,32,57,POL23057519,<40%,High Risk(<=75)
AGT59548553,Pending,23,64,POL35891090,<40%,High Risk(<=75)
AGT50505613,Renewed,3,39,POL93399992,<20%,Medium Risk(<=50)
AGT72977438,Pending,43,94,POL50710696,>40%,Very High Risk(75+)
AGT52696089,Renewed,28,93,POL82014099,<40%,Very High Risk(75+)
AGT85577925,Renewed,0,58,POL25023935,No Discount,High Risk(<=75)
AGT14129625,Not Renewed,22,48,POL15028588,<40%,Medium Risk(<=50)
AGT04610236,Not Renewed,4,56,POL93527045,<20%,High Risk(<=75)
AGT15119685,Renewed,17,48,POL11591403,<20%,Medium Risk(<=50)
AGT34467657,Renewed,36,86,POL45693467,<40%,Very High Risk(75+)
AGT06903946,Pending,8,20,POL20256570,<20%,Low Risk(<=25)
AGT81122075,Pending,3,59,POL90485670,<20%,High Risk(<=75)
AGT49772332,Not Renewed,42,37,POL16874164,>40%,Medium Risk(<=50)
AGT16870877,Not Renewed,34,41,POL94407943,<40%,Medium Risk(<=50)
AGT28736170,Renewed,21,42,POL66935971,<40%,Medium Risk(<=50)
AGT22671453,Renewed,28,55,POL00285080,<40%,High Risk(<=75)
AGT87594230,Pending,8,47,POL56375042,<20%,Medium Risk(<=50)
AGT08001632,Renewed,32,12,POL23995965,<40%,Low Risk(<=25)
AGT09931093,Not Renewed,34,26,POL17257260,<40%,Medium Risk(<=50)
AGT44007777,Pending,39,32,POL47359207,<40%,Medium Risk(<=50)
AGT93999005,Not Renewed,14,28,POL25690244,<20%,Medium Risk(<=50)
AGT38622105,Pending,31,9,POL56082024,<40%,Low Risk(<=25)
AGT97064246,Pending,26,1,POL83477672,<40%,Low Risk(<=25)
AGT26724099,Not Renewed,0,11,POL35251275,No Discount,Low Risk(<=25)
AGT51840786,Not Renewed,23,8,POL88925713,<40%,Low Risk(<=25)
AGT67805160,Pending,9,74,POL84180502,<20%,High Risk(<=75)
AGT53741162,Renewed,7,52,POL35917604,<20%,High Risk(<=75)
AGT39371738,Not Renewed,32,35,POL32525791,<40%,Medium Risk(<=50)
AGT24481806,Not Renewed,14,79,POL45410336,<20%,Very High Risk(75+)
AGT42058571,Pending,17,71,POL14461196,<20%,High Risk(<=75)
AGT99371936,Renewed,40,74,POL64120254,<40%,High Risk(<=75)
AGT22062863,Pending,6,47,POL11850737,<20%,Medium Risk(<=50)
AGT95038398,Pending,29,96,POL24090621,<40%,Very High Risk(75+)
AGT65478821,Pending,25,75,POL07053234,<40%,High Risk(<=75)
AGT16867277,Renewed,15,97,POL56345921,<20%,Very High Risk(75+)
AGT70845220,Not Renewed,41,56,POL73302546,>40%,High Risk(<=75)
AGT51896680,Not Renewed,4,24,POL41570616,<20%,Low Risk(<=25)
AGT35292530,Renewed,23,59,POL00167399,<40%,High Risk(<=75)
AGT29722634,Renewed,39,82,POL14909944,<40%,Very High Risk(75+)
AGT05065210,Not Renewed,8,50,POL52791225,<20%,Medium Risk(<=50)
AGT27266772,Not Renewed,30,99,POL63694348,<40%,Very High Risk(75+)
AGT34136292,Not Renewed,40,36,POL33923599,<40%,Medium Risk(<=50)
AGT87802347,Pending,44,100,POL91166639,>40%,Very High Risk(75+)
AGT78923489,Renewed,3,33,POL73745921,<20%,Medium Risk(<=50)
AGT22757925,Not Renewed,4,99,POL31856502,<20%,Very High Risk(75+)
AGT45064842,Pending,5,59,POL88017939,<20%,High Risk(<=75)
AGT45425812,Not Renewed,24,47,POL37431066,<40%,Medium Risk(<=50)
AGT79675206,Not Renewed,29,34,POL03068532,<40%,Medium Risk(<=50)
AGT29921154,Pending,46,2,POL81019998,>40%,Low Risk(<=25)
AGT59230491,Pending,25,62,POL54082537,<40%,High Risk(<=75)
AGT30015460,Pending,36,94,POL75380530,<40%,Very High Risk(75+)
AGT05786447,Renewed,37,14,POL13370317,<40%,Low Risk(<=25)
AGT62887034,Pending,37,86,POL72506078,<40%,Very High Risk(75+)
AGT66397770,Renewed,42,96,POL15788896,>40%,Very High Risk(75+)
AGT46499978,Pending,19,66,POL87257642,<20%,High Risk(<=75)
AGT10483951,Not Renewed,10,73,POL10754194,<20%,High Risk(<=75)
AGT31731786,Renewed,34,52,POL02543918,<40%,High Risk(<=75)
AGT21243522,Renewed,34,20,POL80996561,<40%,Low Risk(<=25)
AGT33921083,Pending,0,49,POL82172592,No Discount,Medium Risk(<=50)
AGT55520886,Not Renewed,17,9,POL70577511,<20%,Low Risk(<=25)
AGT89000923,Not Renewed,3,6,POL00677715,<20%,Low Risk(<=25)
AGT26075329,Pending,34,71,POL65284354,<40%,High Risk(<=75)
AGT54199915,Pending,19,23,POL29054681,<20%,Low Risk(<=25)
AGT29732137,Not Renewed,14,15,POL56020599,<20%,Low Risk(<=25)
AGT01638698,Pending,22,4,POL02586223,<40%,Low Risk(<=25)
AGT85797099,Renewed,31,83,POL36565456,<40%,Very High Risk(75+)
AGT01801260,Pending,42,21,POL73721889,>40%,Low Risk(<=25)
AGT86981507,Not Renewed,10,97,POL42862009,<20%,Very High Risk(75+)
AGT98272042,Pending,26,5,POL91109221,<40%,Low Risk(<=25)
AGT34197406,Pending,8,2,POL99391697,<20%,Low Risk(<=25)
AGT94719474,Pending,46,72,POL07501738,>40%,High Risk(<=75)
AGT46340902,Renewed,22,92,POL54824622,<40%,Very High Risk(75+)
AGT20076003,Renewed,7,24,POL74809100,<20%,Low Risk(<=25)
AGT52971870,Not Renewed,30,5,POL05204154,<40%,Low Risk(<=25)
AGT05908308,Renewed,48,43,POL36096008,>40%,Medium Risk(<=50)
AGT03900481,Pending,5,12,POL92010970,<20%,Low Risk(<=25)
AGT81873311,Not Renewed,47,95,POL26112372,>40%,Very High Risk(75+)
AGT35475823,Pending,19,35,POL33632852,<20%,Medium Risk(<=50)
AGT28935042,Not Renewed,34,89,POL29315631,<40%,Very High Risk(75+)
AGT30379091,Renewed,36,14,POL87150455,<40%,Low Risk(<=25)
AGT27946126,Renewed,6,34,POL96387470,<20%,Medium Risk(<=50)
AGT43752010,Not Renewed,5,22,POL23926652,<20%,Low Risk(<=25)
AGT53267607,Pending,26,16,POL17904439,<40%,Low Risk(<=25)
AGT74825085,Renewed,24,56,POL38419825,<40%,High Risk(<=75)
AGT84378019,Not Renewed,34,3,POL76405797,<40%,Low Risk(<=25)
AGT74815445,Not Renewed,4,37,POL21911131,<20%,Medium Risk(<=50)
AGT98788369,Renewed,47,76,POL92252183,>40%,Very High Risk(75+)
AGT73509341,Not Renewed,13,43,POL05753582,<20%,Medium Risk(<=50)
AGT77700590,Renewed,0,18,POL26903492,No Discount,Low Risk(<=25)
AGT73455107,Renewed,34,5,POL31299981,<40%,Low Risk(<=25)
AGT78939627,Pending,39,91,POL01888346,<40%,Very High Risk(75+)
AGT65070500,Not Renewed,37,26,POL87558325,<40%,Medium Risk(<=50)
AGT79101510,Pending,14,22,POL09367565,<20%,Low Risk(<=25)
AGT78669345,Not Renewed,32,31,POL66521872,<40%,Medium Risk(<=50)
AGT26321051,Renewed,5,11,POL95876138,<20%,Low Risk(<=25)
AGT50732126,Not Renewed,13,79,POL98940145,<20%,Very High Risk(75+)
AGT70776978,Pending,17,44,POL20706800,<20%,Medium Risk(<=50)
AGT79814945,Pending,39,30,POL62363777,<40%,Medium Risk(<=50)
AGT66401015,Not Renewed,44,100,POL30056651,>40%,Very High Risk(75+)
AGT25520910,Renewed,32,41,POL48483047,<40%,Medium Risk(<=50)
AGT41062265,Pending,42,69,POL87901300,>40%,High Risk(<=75)
AGT80365085,Pending,34,72,POL23666757,<40%,High Risk(<=75)
AGT78764713,Renewed,8,11,POL17108285,<20%,Low Risk(<=25)
AGT76054665,Not Renewed,16,6,POL29859333,<20%,Low Risk(<=25)
AGT88668143,Pending,26,33,POL45632663,<40%,Medium Risk(<=50)
AGT43978373,Not Renewed,37,62,POL95105211,<40%,High Risk(<=75)
AGT94478998,Renewed,30,14,POL86241971,<40%,Low Risk(<=25)
AGT44405059,Renewed,25,59,POL88449964,<40%,High Risk(<=75)
AGT98827293,Renewed,32,46,POL91221786,<40%,Medium Risk(<=50)
AGT19338702,Not Renewed,36,13,POL81320794,<40%,Low Risk(<=25)
AGT28453933,Not Renewed,16,99,POL51364019,<20%,Very High Risk(75+)
AGT01663697,Pending,39,83,POL31936663,<40%,Very High Risk(75+)
AGT45229996,Renewed,19,77,POL26252695,<20%,Very High Risk(75+)
AGT23800009,Not Renewed,37,50,POL75928270,<40%,Medium Risk(<=50)
AGT96333263,Renewed,15,68,POL84662646,<20%,High Risk(<=75)
AGT92018684,Pending,0,73,POL07640768,No Discount,High Risk(<=75)
AGT40409503,Renewed,42,47,POL79406105,>40%,Medium Risk(<=50)
AGT64230253,Renewed,12,85,POL87414724,<20%,Very High Risk(75+)
AGT98096158,Not Renewed,23,23,POL61963636,<40%,Low Risk(<=25)
AGT77397428,Renewed,26,84,POL20036492,<40%,Very High Risk(75+)
AGT10465463,Not Renewed,6,83,POL34350307,<20%,Very High Risk(75+)
AGT25857928,Pending,40,79,POL07383816,<40%,Very High Risk(75+)
AGT76375588,Not Renewed,37,4,POL05276181,<40%,Low Risk(<=25)
AGT92715073,Renewed,28,93,POL01056651,<40%,Very High Risk(75+)
AGT34872219,Pending,41,46,POL57167179,>40%,Medium Risk(<=50)
AGT64256375,Not Renewed,34,27,POL26041216,<40%,Medium Risk(<=50)
AGT58666448,Renewed,39,94,POL99892267,<40%,Very High Risk(75+)
AGT04189162,Not Renewed,34,3,POL68220534,<40%,Low Risk(<=25)
AGT46298837,Not Renewed,28,56,POL43928223,<40%,High Risk(<=75)
AGT23059032,Pending,15,31,POL53360521,<20%,Medium Risk(<=50)
AGT88140816,Pending,12,59,POL55583522,<20%,High Risk(<=75)
AGT56473085,Pending,17,98,POL23406460,<20%,Very High Risk(75+)
AGT00655047,Renewed,35,48,POL46108222,<40%,Medium Risk(<=50)
AGT05947808,Pending,2,42,POL34185139,<20%,Medium Risk(<=50)
AGT85546084,Not Renewed,7,40,POL18009742,<20%,Medium Risk(<=50)
AGT91588051,Not Renewed,24,57,POL01410101,<40%,High Risk(<=75)
AGT03937527,Not Renewed,34,35,POL25999716,<40%,Medium Risk(<=50)
AGT95358394,Not Renewed,49,41,POL58829430,>40%,Medium Risk(<=50)
AGT05712396,Not Renewed,34,20,POL35621374,<40%,Low Risk(<=25)
AGT51176997,Renewed,6,81,POL91591924,<20%,Very High Risk(75+)
AGT90193843,Pending,44,89,POL31141839,>40%,Very High Risk(75+)
AGT01981470,Not Renewed,49,62,POL53495954,>40%,High Risk(<=75)
AGT21438300,Pending,37,63,POL86577388,<40%,High Risk(<=75)
AGT68890964,Renewed,33,51,POL93128506,<40%,High Risk(<=75)
AGT75139568,Renewed,47,9,POL99329003,>40%,Low Risk(<=25)
AGT74129792,Not Renewed,15,13,POL72353827,<20%,Low Risk(<=25)
AGT95325354,Renewed,48,38,POL74405232,>40%,Medium Risk(<=50)
AGT25441460,Not Renewed,4,95,POL79712563,<20%,Very High Risk(75+)
AGT04401528,Not Renewed,43,24,POL59054638,>40%,Low Risk(<=25)
AGT85798447,Pending,35,95,POL11386721,<40%,Very High Risk(75+)
AGT37992453,Pending,18,40,POL27080806,<20%,Medium Risk(<=50)
AGT05543623,Not Renewed,35,70,POL67346720,<40%,High Risk(<=75)
AGT28436306,Renewed,48,61,POL21533048,>40%,High Risk(<=75)
AGT83981294,Renewed,3,14,POL87314266,<20%,Low Risk(<=25)
AGT39121639,Renewed,5,17,POL40501212,<20%,Low Risk(<=25)
AGT84603592,Renewed,15,57,POL77404434,<20%,High Risk(<=75)
AGT56088274,Not Renewed,26,50,POL21785501,<40%,Medium Risk(<=50)
AGT55741527,Renewed,35,41,POL01637103,<40%,Medium Risk(<=50)
AGT21152792,Renewed,36,47,POL37640614,<40%,Medium Risk(<=50)
AGT67342635,Not Renewed,21,83,POL38779532,<40%,Very High Risk(75+)
AGT68661702,Not Renewed,36,53,POL93532453,<40%,High Risk(<=75)
AGT06413729,Not Renewed,5,68,POL32964708,<20%,High Risk(<=75)
AGT80921407,Renewed,13,65,POL60083626,<20%,High Risk(<=75)
AGT26754885,Pending,21,20,POL37953515,<40%,Low Risk(<=25)
AGT49192028,Not Renewed,50,46,POL30949010,>40%,Medium Risk(<=50)
AGT17604560,Renewed,41,2,POL89850916,>40%,Low Risk(<=25)
AGT86078442,Pending,5,24,POL42233188,<20%,Low Risk(<=25)
AGT15121985,Not Renewed,8,49,POL18840628,<20%,Medium Risk(<=50)
AGT73560306,Pending,42,88,POL97879638,>40%,Very High Risk(75+)
AGT84175927,Pending,39,78,POL98458382,<40%,Very High Risk(75+)
AGT94218542,Pending,10,51,POL99307499,<20%,High Risk(<=75)
AGT52566310,Not Renewed,38,52,POL12388538,<40%,High Risk(<=75)
AGT00462765,Renewed,8,18,POL38913667,<20%,Low Risk(<=25)
AGT95851953,Renewed,11,11,POL66729277,<20%,Low Risk(<=25)
AGT63953893,Not Renewed,46,32,POL04984888,>40%,Medium Risk(<=50)
AGT48332968,Not Renewed,10,49,POL04461844,<20%,Medium Risk(<=50)
AGT26243082,Pending,9,74,POL02953987,<20%,High Risk(<=75)
AGT42794762,Renewed,7,68,POL45794212,<20%,High Risk(<=75)
AGT50738988,Renewed,25,9,POL12021840,<40%,Low Risk(<=25)
AGT80254709,Not Renewed,8,87,POL80902857,<20%,Very High Risk(75+)
AGT12774099,Not Renewed,5,84,POL30067784,<20%,Very High Risk(75+)
AGT95899781,Not Renewed,35,42,POL97395232,<40%,Medium Risk(<=50)
AGT71503163,Not Renewed,49,14,POL16232154,>40%,Low Risk(<=25)
AGT06426487,Renewed,29,38,POL40650840,<40%,Medium Risk(<=50)
AGT22213920,Not Renewed,14,35,POL35241420,<20%,Medium Risk(<=50)
AGT45353150,Renewed,33,90,POL55451317,<40%,Very High Risk(75+)
AGT92940042,Renewed,14,13,POL64599261,<20%,Low Risk(<=25)
AGT07995245,Pending,39,57,POL16497483,<40%,High Risk(<=75)
AGT28056586,Not Renewed,50,56,POL44197274,>40%,High Risk(<=75)
AGT45277325,Not Renewed,32,60,POL79351007,<40%,High Risk(<=75)
AGT62818751,Not Renewed,23,87,POL85421445,<40%,Very High Risk(75+)
AGT13008474,Renewed,45,87,POL91301577,>40%,Very High Risk(75+)
AGT59473242,Renewed,18,77,POL96350038,<20%,Very High Risk(75+)
AGT50896583,Not Renewed,24,14,POL83891543,<40%,Low Risk(<=25)
AGT27206385,Pending,15,45,POL61910551,<20%,Medium Risk(<=50)
AGT07225527,Not Renewed,1,22,POL07172279,<20%,Low Risk(<=25)
AGT47528065,Pending,41,73,POL40635868,>40%,High Risk(<=75)
AGT15907740,Renewed,45,35,POL86871699,>40%,Medium Risk(<=50)
AGT30472128,Renewed,44,66,POL98972486,>40%,High Risk(<=75)
AGT97793845,Not Renewed,17,75,POL10353696,<20%,High Risk(<=75)
AGT44415844,Pending,39,13,POL19826464,<40%,Low Risk(<=25)
AGT58189782,Pending,47,100,POL43365109,>40%,Very High Risk(75+)
AGT29310288,Pending,14,16,POL34839804,<20%,Low Risk(<=25)
AGT06015380,Renewed,8,36,POL22478374,<20%,Medium Risk(<=50)
AGT92677307,Pending,3,27,POL77820339,<20%,Medium Risk(<=50)
AGT55259696,Pending,42,21,POL19433237,>40%,Low Risk(<=25)
AGT01957569,Renewed,23,80,POL76932868,<40%,Very High Risk(75+)
AGT04681877,Not Renewed,15,10,POL41761083,<20%,Low Risk(<=25)
AGT77386119,Not Renewed,20,47,POL64386769,<20%,Medium Risk(<=50)
AGT89692178,Not Renewed,39,45,POL59120668,<40%,Medium Risk(<=50)
AGT92890644,Not Renewed,0,53,POL21757183,No Discount,High Risk(<=75)
AGT88379459,Renewed,47,43,POL28084608,>40%,Medium Risk(<=50)
AGT29237397,Pending,8,14,POL45824623,<20%,Low Risk(<=25)
AGT07792554,Pending,15,95,POL31252194,<20%,Very High Risk(75+)
AGT06628477,Renewed,31,68,POL40654062,<40%,High Risk(<=75)
AGT43587384,Pending,42,27,POL68041288,>40%,Medium Risk(<=50)
AGT61277403,Pending,16,91,POL66896232,<20%,Very High Risk(75+)
AGT03755562,Pending,22,54,POL66215442,<40%,High Risk(<=75)
AGT65022740,Not Renewed,41,60,POL53985837,>40%,High Risk(<=75)
AGT61763502,Not Renewed,15,55,POL26196435,<20%,High Risk(<=75)
AGT59733849,Renewed,29,46,POL06372967,<40%,Medium Risk(<=50)
AGT09670936,Renewed,15,62,POL24776392,<20%,High Risk(<=75)
AGT35711328,Not Renewed,14,20,POL79861668,<20%,Low Risk(<=25)
AGT77661129,Not Renewed,18,85,POL30398822,<20%,Very High Risk(75+)
AGT70449713,Pending,7,70,POL41941398,<20%,High Risk(<=75)
AGT44034733,Not Renewed,31,22,POL54158213,<40%,Low Risk(<=25)
AGT23143667,Not Renewed,3,28,POL25767436,<20%,Medium Risk(<=50)
AGT78643174,Pending,48,9,POL90801398,>40%,Low Risk(<=25)
AGT00307009,Renewed,0,7,POL84935714,No Discount,Low Risk(<=25)
AGT41159010,Renewed,20,33,POL29870683,<20%,Medium Risk(<=50)
AGT57746002,Pending,12,73,POL86204804,<20%,High Risk(<=75)
AGT63403615,Pending,4,51,POL07331096,<20%,High Risk(<=75)
AGT53492924,Not Renewed,40,62,POL47491023,<40%,High Risk(<=75)
AGT27033456,Pending,7,52,POL78988005,<20%,High Risk(<=75)
AGT88787740,Pending,11,8,POL20597369,<20%,Low Risk(<=25)
AGT20551931,Not Renewed,12,2,POL22925819,<20%,Low Risk(<=25)
AGT30250830,Pending,10,82,POL99353162,<20%,Very High Risk(75+)
AGT68157356,Not Renewed,37,92,POL67753905,<40%,Very High Risk(75+)
AGT54576781,Pending,11,85,POL71493130,<20%,Very High Risk(75+)
AGT91499770,Pending,45,5,POL69222840,>40%,Low Risk(<=25)
AGT98390378,Pending,50,48,POL77822153,>40%,Medium Risk(<=50)
AGT45768219,Pending,13,98,POL84330752,<20%,Very High Risk(75+)
AGT98582772,Pending,48,1,POL81049657,>40%,Low Risk(<=25)
AGT69675361,Renewed,34,87,POL09607120,<40%,Very High Risk(75+)
AGT81439591,Not Renewed,20,46,POL63517748,<20%,Medium Risk(<=50)
AGT66271858,Renewed,8,29,POL22866808,<20%,Medium Risk(<=50)
AGT60184229,Pending,4,95,POL55402770,<20%,Very High Risk(75+)
AGT52554533,Renewed,34,8,POL14673138,<40%,Low Risk(<=25)
AGT70123375,Not Renewed,2,78,POL32850811,<20%,Very High Risk(75+)
AGT88384506,Pending,0,67,POL36376405,No Discount,High Risk(<=75)
AGT89390357,Not Renewed,10,54,POL57116310,<20%,High Risk(<=75)
AGT45937340,Renewed,39,66,POL80995541,<40%,High Risk(<=75)
AGT66162294,Renewed,12,69,POL22918011,<20%,High Risk(<=75)
AGT49464965,Renewed,20,26,POL99343551,<20%,Medium Risk(<=50)
AGT04943393,Renewed,40,60,POL95686589,<40%,High Risk(<=75)
AGT64442581,Pending,18,79,POL74488580,<20%,Very High Risk(75+)
AGT25680570,Pending,24,43,POL03845436,<40%,Medium Risk(<=50)
AGT34862420,Not Renewed,36,99,POL49082754,<40%,Very High Risk(75+)
AGT72008857,Renewed,36,15,POL79206629,<40%,Low Risk(<=25)
AGT49134544,Renewed,38,74,POL48220371,<40%,High Risk(<=75)
AGT25529286,Pending,48,86,POL02880116,>40%,Very High Risk(75+)
AGT42313803,Not Renewed,2,79,POL17982019,<20%,Very High Risk(75+)
AGT63801581,Renewed,23,44,POL59802127,<40%,Medium Risk(<=50)
AGT42203449,Pending,12,71,POL82513265,<20%,High Risk(<=75)
AGT90061690,Renewed,21,78,POL07546280,<40%,Very High Risk(75+)
AGT42842137,Renewed,30,36,POL46514343,<40%,Medium Risk(<=50)
AGT94826984,Pending,29,94,POL45081491,<40%,Very High Risk(75+)
AGT00030139,Pending,38,83,POL74142880,<40%,Very High Risk(75+)
AGT69668172,Renewed,9,76,POL84931770,<20%,Very High Risk(75+)
AGT66510570,Renewed,28,49,POL52796576,<40%,Medium Risk(<=50)
AGT27524601,Renewed,30,41,POL98526256,<40%,Medium Risk(<=50)
AGT75280940,Renewed,49,5,POL15046507,>40%,Low Risk(<=25)
AGT19493223,Not Renewed,33,27,POL34670863,<40%,Medium Risk(<=50)
AGT93487416,Not Renewed,39,92,POL82697180,<40%,Very High Risk(75+)
AGT43611620,Renewed,26,9,POL79014248,<40%,Low Risk(<=25)
AGT50427641,Pending,48,84,POL11173408,>40%,Very High Risk(75+)
AGT66324975,Renewed,16,14,POL20801175,<20%,Low Risk(<=25)
AGT82467255,Not Renewed,40,86,POL26361547,<40%,Very High Risk(75+)
AGT94644729,Pending,1,28,POL48790077,<20%,Medium Risk(<=50)
AGT09425482,Not Renewed,21,23,POL27343652,<40%,Low Risk(<=25)
AGT23121075,Renewed,17,19,POL52182081,<20%,Low Risk(<=25)
AGT40004865,Not Renewed,43,70,POL63375937,>40%,High Risk(<=75)
AGT79255771,Not Renewed,38,88,POL39337647,<40%,Very High Risk(75+)
AGT00029799,Not Renewed,4,26,POL78314103,<20%,Medium Risk(<=50)
AGT85867026,Not Renewed,12,42,POL97881363,<20%,Medium Risk(<=50)
AGT23367735,Not Renewed,35,51,POL89180514,<40%,High Risk(<=75)
AGT81808947,Pending,36,42,POL20175576,<40%,Medium Risk(<=50)
AGT42276971,Not Renewed,20,4,POL66446830,<20%,Low Risk(<=25)
AGT45808449,Not Renewed,12,16,POL12305734,<20%,Low Risk(<=25)
AGT03942017,Renewed,8,52,POL53425545,<20%,High Risk(<=75)
AGT76244275,Pending,22,49,POL78113526,<40%,Medium Risk(<=50)
AGT31182374,Not Renewed,48,39,POL90316205,>40%,Medium Risk(<=50)
AGT14574755,Not Renewed,29,76,POL82486686,<40%,Very High Risk(75+)
AGT71114471,Not Renewed,2,55,POL39253825,<20%,High Risk(<=75)
AGT58963604,Pending,0,60,POL37660659,No Discount,High Risk(<=75)
AGT88655926,Pending,0,20,POL67932010,No Discount,Low Risk(<=25)
AGT85582403,Pending,36,8,POL49350723,<40%,Low Risk(<=25)
AGT87698345,Renewed,41,53,POL41015273,>40%,High Risk(<=75)
AGT06180053,Renewed,31,52,POL35985478,<40%,High Risk(<=75)
AGT08154549,Renewed,47,74,POL99061249,>40%,High Risk(<=75)
AGT86106687,Pending,33,33,POL53582347,<40%,Medium Risk(<=50)
AGT69961024,Not Renewed,36,76,POL04572453,<40%,Very High Risk(75+)
AGT70703987,Not Renewed,9,60,POL87381995,<20%,High Risk(<=75)
AGT39692451,Not Renewed,14,53,POL65765097,<20%,High Risk(<=75)
AGT64433900,Not Renewed,29,37,POL97005943,<40%,Medium Risk(<=50)
AGT91238398,Not Renewed,24,44,POL85814059,<40%,Medium Risk(<=50)
AGT94726879,Not Renewed,0,96,POL70403090,No Discount,Very High Risk(75+)
AGT76546673,Renewed,15,42,POL42122048,<20%,Medium Risk(<=50)
AGT50695643,Renewed,38,35,POL21020862,<40%,Medium Risk(<=50)
AGT17277870,Pending,10,88,POL81937503,<20%,Very High Risk(75+)
AGT42771894,Pending,12,88,POL62890808,<20%,Very High Risk(75+)
AGT34122818,Pending,24,85,POL51973963,<40%,Very High Risk(75+)
AGT64771614,Pending,23,15,POL47741439,<40%,Low Risk(<=25)
AGT13542602,Pending,41,37,POL76701939,>40%,Medium Risk(<=50)
AGT00302874,Renewed,18,33,POL71958850,<20%,Medium Risk(<=50)
AGT62637408,Pending,37,30,POL03359385,<40%,Medium Risk(<=50)
AGT64151291,Renewed,5,33,POL31903736,<20%,Medium Risk(<=50)
AGT55418958,Renewed,36,51,POL58966996,<40%,High Risk(<=75)
AGT59533752,Not Renewed,8,3,POL13070623,<20%,Low Risk(<=25)
AGT65322640,Not Renewed,41,83,POL05347013,>40%,Very High Risk(75+)
AGT18291374,Renewed,15,3,POL92549260,<20%,Low Risk(<=25)
AGT79693257,Pending,28,32,POL86602241,<40%,Medium Risk(<=50)
AGT34955635,Renewed,34,86,POL50804542,<40%,Very High Risk(75+)
AGT07267300,Not Renewed,19,61,POL10635257,<20%,High Risk(<=75)
AGT09392561,Not Renewed,33,37,POL20115045,<40%,Medium Risk(<=50)
AGT78131307,Renewed,39,42,POL73588867,<40%,Medium Risk(<=50)
