Payment ID,Date of Payment,Amount Paid,Payment Method,Payment Status,Policy ID
PAY77306851,44826,173.06,Bank Transfer,Successful,POL13071740
PAY15217262,44748,805.26,Cash,Failed,POL57229212
PAY97272121,44942,665.71,Credit Card,Successful,POL97702874
PAY08669806,45636,691.63,Bank Transfer,Successful,POL46136087
PAY82082963,45121,1279.68,Bank Transfer,Successful,POL55243233
PAY44519171,45335,1220.31,Bank Transfer,Successful,POL64607736
PAY51038503,44866,886.71,Cash,Successful,POL28778471
PAY44996128,44899,1296.32,Cash,Failed,POL25240752
PAY61197807,44566,912.31,Bank Transfer,Successful,POL69821903
PAY05469603,44696,370.53,Credit Card,Failed,POL24855714
PAY75614314,44619,1084,Cash,Failed,POL24807912
PAY79564645,44758,1482.87,Credit Card,Successful,POL96903028
PAY38119482,44995,1049.91,Bank Transfer,Successful,POL11213350
PAY09103949,44919,786.16,Bank Transfer,Failed,POL23979446
PAY52214045,45157,141.12,Cash,Failed,POL90480498
PAY13461919,44619,1081.23,Credit Card,Failed,POL87933513
PAY25400599,45356,616.21,Bank Transfer,Successful,POL08536084
PAY64545303,45031,1106.96,Cash,Failed,POL44693402
PAY61654696,45032,959.78,Bank Transfer,Failed,POL73654382
PAY01963367,45488,85.03,Cash,Failed,POL62759282
PAY49228786,44833,1269.29,Cash,Successful,POL91015458
PAY40389774,45289,1350.25,Bank Transfer,Failed,POL17278693
PAY79882763,45451,804.3,Cash,Successful,POL79962283
PAY57477024,44608,1301.18,Bank Transfer,Successful,POL52570875
PAY33877050,44895,526.33,Cash,Successful,POL94939056
PAY43078795,45261,354.36,Bank Transfer,Failed,POL32342170
PAY51893329,45240,422.5,Cash,Failed,POL32797362
PAY40204862,44997,1006.22,Cash,Failed,POL54888103
PAY18115065,45480,609.85,Bank Transfer,Failed,POL95217332
PAY33349040,45473,681.62,Bank Transfer,Failed,POL35164229
PAY11923218,45085,577.93,Bank Transfer,Failed,POL64204852
PAY66811814,45413,438.16,Bank Transfer,Failed,POL63433584
PAY61118984,45206,727.8,Bank Transfer,Failed,POL19136648
PAY43799690,45440,218.05,Credit Card,Failed,POL96760097
PAY47297465,45520,1265.98,Bank Transfer,Successful,POL22302710
PAY20557104,44666,201.78,Credit Card,Successful,POL72956351
PAY35698908,44838,321.56,Bank Transfer,Failed,POL19532067
PAY10082066,44722,568.96,Bank Transfer,Successful,POL61616519
PAY79899656,45413,1203.99,Cash,Failed,POL79406105
PAY18610648,44975,669.79,Credit Card,Failed,POL51164854
PAY73871365,44744,60.71,Cash,Successful,POL79306031
PAY01528930,44766,576.35,Bank Transfer,Failed,POL31757726
PAY38187669,45072,181.07,Cash,Failed,POL31729294
PAY98109007,45460,779.82,Cash,Successful,POL47175698
PAY67540908,45141,342.91,Credit Card,Successful,POL62969017
PAY93282752,44573,288.2,Credit Card,Failed,POL92386046
PAY21919990,45252,344.88,Cash,Successful,POL03108905
PAY47624551,44784,1133.74,Credit Card,Failed,POL30062684
PAY98416857,44830,1408.16,Cash,Successful,POL59205415
PAY89999620,44843,1041.14,Cash,Failed,POL31865352
PAY55424947,44927,66.18,Cash,Successful,POL26162057
PAY99778646,44564,372.67,Cash,Failed,POL25023935
PAY94055301,45476,426.54,Cash,Successful,POL28314464
PAY67241318,45320,1442.05,Credit Card,Successful,POL19986234
PAY89138485,45042,361.48,Bank Transfer,Successful,POL09141368
PAY47474836,45614,56.26,Credit Card,Successful,POL90960707
PAY29910113,44615,1347.94,Bank Transfer,Successful,POL56373098
PAY14597442,44874,72.61,Bank Transfer,Successful,POL45374585
PAY51195674,45050,716.01,Credit Card,Successful,POL82947020
PAY05744614,44830,943.77,Bank Transfer,Successful,POL45693467
PAY52862262,45240,1405.56,Bank Transfer,Successful,POL50630686
PAY05368419,45212,296.84,Cash,Successful,POL10231732
PAY07969194,45542,92.45,Cash,Successful,POL12389694
PAY87427122,45589,1496.51,Cash,Successful,POL35985478
PAY47255735,44762,1041.31,Bank Transfer,Successful,POL73394070
PAY70241395,44658,912.48,Cash,Failed,POL87120286
PAY41406139,45469,201.61,Credit Card,Failed,POL59128367
PAY28579950,45590,1352.78,Cash,Failed,POL12935594
PAY09125211,45608,1356.65,Credit Card,Failed,POL17105339
PAY33008507,45415,1255.45,Bank Transfer,Successful,POL25170126
PAY06020839,44927,258.31,Bank Transfer,Failed,POL50406144
PAY18298605,44999,1173.56,Bank Transfer,Failed,POL17886964
PAY67466863,45179,154.55,Credit Card,Failed,POL76996418
PAY96617259,44592,309.68,Cash,Failed,POL04685108
PAY73738106,45569,1224.96,Bank Transfer,Failed,POL98604785
PAY69590598,44869,290.98,Credit Card,Failed,POL13218423
PAY07484394,44876,584.38,Bank Transfer,Failed,POL37350059
PAY78584072,45145,771.8,Credit Card,Failed,POL04331178
PAY30370417,44595,1360.81,Cash,Successful,POL04317062
PAY76429474,45593,1125.84,Bank Transfer,Successful,POL89484652
PAY97315679,45225,935.04,Cash,Failed,POL13591287
PAY01304611,45381,873.74,Cash,Failed,POL17218507
PAY66178884,45201,583.61,Bank Transfer,Successful,POL00830653
PAY90866922,45056,313.99,Cash,Successful,POL69578293
PAY79423768,45608,1393.1,Credit Card,Failed,POL29760380
PAY35088436,44609,221.99,Bank Transfer,Failed,POL24807912
PAY85942329,45014,684.54,Cash,Successful,POL59124038
PAY46319801,45593,790.89,Credit Card,Failed,POL00148188
PAY93809604,44946,237.54,Credit Card,Failed,POL66860672
PAY44654958,44797,706.42,Credit Card,Failed,POL62665179
PAY42810450,44883,52.3,Cash,Successful,POL03021304
PAY13078442,44860,643.03,Bank Transfer,Failed,POL10285665
PAY38419967,45467,727.95,Bank Transfer,Failed,POL55190286
PAY29069460,45498,427.57,Cash,Failed,POL92070714
PAY10249884,44723,1325.16,Cash,Successful,POL43572641
PAY40610060,45012,957.76,Credit Card,Failed,POL05711134
PAY63174257,45401,1144.01,Cash,Successful,POL32023528
PAY40579949,44865,1292.51,Bank Transfer,Successful,POL30766028
PAY49853872,45209,1058.74,Credit Card,Failed,POL87833198
PAY53362242,44566,1422.71,Credit Card,Failed,POL09615361
PAY19369844,45192,795.5,Credit Card,Successful,POL40901995
PAY00821907,45031,470.16,Cash,Successful,POL23901301
PAY46077817,44650,839.79,Bank Transfer,Successful,POL19704549
PAY50759647,44682,833.55,Cash,Successful,POL02913059
PAY02935269,44684,1440.14,Cash,Successful,POL31178570
PAY95899853,45326,822.79,Cash,Successful,POL93099683
PAY66849793,45065,893.33,Bank Transfer,Failed,POL13297022
PAY11642660,45583,893.33,Cash,Failed,POL65862653
PAY32332891,45323,1381.12,Bank Transfer,Failed,POL63542337
PAY47915026,44700,1029.43,Credit Card,Successful,POL06550384
PAY37439200,44847,334.39,Credit Card,Failed,POL92941554
PAY79269295,45395,201.59,Bank Transfer,Successful,POL64674789
PAY51618861,44584,634.3,Cash,Successful,POL08632152
PAY58305230,44766,1051.06,Bank Transfer,Successful,POL01471307
PAY40610249,45334,829.43,Credit Card,Successful,POL47001756
PAY22762506,45405,784.52,Bank Transfer,Successful,POL88646934
PAY06902895,45383,302.27,Cash,Successful,POL08364354
PAY73017912,45399,1495.4,Cash,Failed,POL59886107
PAY69376608,44693,1467.07,Credit Card,Failed,POL17282682
PAY51567545,45003,639.91,Credit Card,Successful,POL96603488
PAY93381011,45020,762.52,Cash,Successful,POL67370723
PAY85254070,45075,1108.67,Credit Card,Successful,POL36565456
PAY41596213,45023,570.2,Credit Card,Failed,POL75285626
PAY46444846,44856,814.76,Bank Transfer,Successful,POL46564609
PAY79167209,44906,1070.48,Cash,Successful,POL33352305
PAY21113053,45261,1109.01,Cash,Successful,POL46303313
PAY16249040,44679,1133.05,Bank Transfer,Failed,POL05422955
PAY31986696,44865,564.36,Cash,Successful,POL32079740
PAY05953519,45547,1237.71,Cash,Successful,POL02913059
PAY03307971,45048,1313.32,Bank Transfer,Failed,POL08242305
PAY40656181,44686,153.47,Cash,Successful,POL19957770
PAY66182721,45123,1437.42,Credit Card,Failed,POL95715427
PAY51347148,44634,829.7,Cash,Failed,POL64671018
PAY72650958,44852,518.16,Bank Transfer,Successful,POL03859543
PAY55480992,45088,580.3,Bank Transfer,Failed,POL83312613
PAY46066807,45111,326.42,Cash,Successful,POL72122375
PAY39401451,45220,473.9,Bank Transfer,Failed,POL86872083
PAY55655740,44695,523.19,Cash,Failed,POL63474388
PAY54675519,44804,593.64,Cash,Failed,POL38638977
PAY42813642,45620,661.32,Credit Card,Failed,POL77826609
PAY91015280,44979,635.51,Credit Card,Failed,POL88672866
PAY40946079,45162,460.07,Bank Transfer,Successful,POL20698881
PAY51808778,44610,848.07,Cash,Failed,POL55941578
PAY66655151,44964,1379.55,Cash,Successful,POL70265364
PAY99511672,44718,1106.49,Bank Transfer,Failed,POL22177049
PAY24009295,44934,126.24,Credit Card,Successful,POL55835566
PAY80129568,44883,322.23,Bank Transfer,Successful,POL40541993
PAY20915274,45331,1264.31,Cash,Failed,POL26928183
PAY83227815,45487,190.55,Credit Card,Failed,POL45656881
PAY85540468,45047,1392.12,Credit Card,Failed,POL67385863
PAY27030997,44641,1237.53,Credit Card,Failed,POL41993395
PAY05093443,45327,410.3,Bank Transfer,Failed,POL66073787
PAY81190672,44866,1479.11,Credit Card,Failed,POL21871449
PAY28317524,45002,1146.89,Credit Card,Failed,POL29130191
PAY79276286,45566,1429.3,Credit Card,Failed,POL28314464
PAY91991154,45239,189.68,Bank Transfer,Successful,POL78264122
PAY54068488,45409,1416.61,Bank Transfer,Successful,POL09346416
PAY41818181,45193,218.07,Bank Transfer,Failed,POL87664346
PAY67450239,45529,381.67,Bank Transfer,Failed,POL95788557
PAY50824333,44781,1114.62,Cash,Successful,POL67789029
PAY09196712,44580,453.63,Credit Card,Failed,POL77366966
PAY50614800,45119,214.62,Cash,Successful,POL81019998
PAY83833011,44735,984.51,Bank Transfer,Failed,POL04691373
PAY43002715,44953,1261.31,Cash,Failed,POL52570875
PAY73267912,44862,1331.13,Bank Transfer,Successful,POL91712276
PAY30214234,45072,1180.97,Bank Transfer,Failed,POL22111965
PAY19179142,44759,1458.72,Credit Card,Failed,POL59128367
PAY08502245,45637,718.28,Credit Card,Successful,POL01090154
PAY92063665,45345,1477.09,Bank Transfer,Successful,POL58976794
PAY86513857,44650,164.34,Credit Card,Failed,POL82703619
PAY53660475,45095,450.66,Credit Card,Successful,POL39824076
PAY11972477,45280,300.89,Cash,Successful,POL98348434
PAY60328365,45090,771.66,Bank Transfer,Successful,POL89665327
PAY26338296,45354,1203.81,Cash,Failed,POL82378502
PAY41167572,44637,858.65,Bank Transfer,Failed,POL03235385
PAY83559844,44998,916.11,Credit Card,Failed,POL49366333
PAY55738172,45069,1047.43,Credit Card,Successful,POL42164624
PAY02905082,44607,438.64,Cash,Failed,POL16452788
PAY42927810,45519,189.38,Bank Transfer,Successful,POL76374292
PAY59863695,44744,1464.17,Bank Transfer,Failed,POL01955713
PAY74515351,44897,1273.88,Credit Card,Successful,POL93167566
PAY14009689,45132,975.81,Bank Transfer,Failed,POL00986980
PAY50311344,44620,761.56,Cash,Successful,POL19136648
PAY41911856,45273,770.47,Cash,Failed,POL09886051
PAY33880797,44678,843.82,Cash,Successful,POL12763634
PAY68857899,45235,1345.96,Bank Transfer,Successful,POL04572453
PAY85459058,45129,1410.62,Cash,Successful,POL07284415
PAY23611286,44619,658.57,Credit Card,Successful,POL39439149
PAY60889623,44841,786.26,Cash,Successful,POL69044273
PAY72566142,44964,1496.53,Credit Card,Failed,POL55813188
PAY04025046,44777,450.58,Cash,Failed,POL25304698
PAY72243049,44896,857.85,Bank Transfer,Failed,POL46427278
PAY03584883,44726,128.09,Credit Card,Failed,POL00677715
PAY64198503,44986,1397.89,Bank Transfer,Successful,POL32398329
PAY72125492,45551,403.83,Bank Transfer,Successful,POL06341687
PAY05822664,44816,484.56,Credit Card,Successful,POL06351305
PAY44408624,45155,420.84,Cash,Failed,POL16384443
PAY14744162,45494,142.61,Bank Transfer,Successful,POL53750210
PAY60027902,45324,500.02,Bank Transfer,Successful,POL10427229
PAY96442057,45142,960.45,Bank Transfer,Successful,POL02018032
PAY06052666,44958,789.57,Cash,Failed,POL24459389
PAY62241032,45320,687.03,Cash,Successful,POL01760964
PAY67792556,45291,1300.77,Cash,Failed,POL30360159
PAY69734604,45074,282.15,Cash,Failed,POL93746729
PAY18754526,45242,409.71,Credit Card,Successful,POL50807231
PAY17008932,45541,1092.96,Credit Card,Failed,POL06264444
PAY89252428,45395,1435.73,Bank Transfer,Failed,POL83669063
PAY59764732,44741,342.7,Bank Transfer,Failed,POL12299687
PAY76697218,45054,161.43,Credit Card,Successful,POL04460141
PAY93696677,45293,1163.97,Cash,Failed,POL94885800
PAY44680576,45443,319.5,Cash,Successful,POL05757630
PAY93857183,45557,1453.83,Cash,Failed,POL87958361
PAY41345838,44899,1084.59,Cash,Successful,POL47741439
PAY55737012,45580,947.98,Cash,Failed,POL73582345
PAY48827501,44764,1011.86,Bank Transfer,Failed,POL17801092
PAY51893653,45111,1286.62,Cash,Successful,POL11423275
PAY25897385,44944,670.23,Cash,Successful,POL21871449
PAY05902299,44996,567.64,Cash,Successful,POL50060227
PAY82448389,45646,330.82,Cash,Failed,POL95771628
PAY09569217,45472,177.59,Bank Transfer,Failed,POL31424622
PAY17035930,45587,1153.72,Cash,Failed,POL31299981
PAY08789665,45134,779.45,Bank Transfer,Successful,POL00460604
PAY90754330,45078,723.09,Cash,Failed,POL61062551
PAY53621979,45121,1388.53,Bank Transfer,Failed,POL79030894
PAY09997421,45353,679.61,Bank Transfer,Successful,POL32964708
PAY20540746,44995,295.84,Bank Transfer,Failed,POL44115622
PAY44864004,44972,787.89,Bank Transfer,Failed,POL92817192
PAY46716829,45009,248.58,Cash,Successful,POL48606584
PAY73906809,45079,530.36,Credit Card,Failed,POL48511316
PAY85004398,44734,756.61,Credit Card,Successful,POL86299537
PAY73704361,45532,557.18,Bank Transfer,Successful,POL63414573
PAY19168217,45301,650.98,Cash,Failed,POL38790391
PAY19862430,45559,976.46,Credit Card,Failed,POL06589548
PAY69325285,45030,1349.73,Bank Transfer,Successful,POL43397255
PAY97901759,45539,754.48,Bank Transfer,Failed,POL63077601
PAY37674502,45533,223.49,Cash,Failed,POL47004965
PAY15194554,44596,237.78,Credit Card,Successful,POL48346440
PAY31200886,44933,1478.19,Cash,Failed,POL31763901
PAY13345098,45623,492.6,Cash,Failed,POL32625291
PAY14984473,44789,316.95,Cash,Failed,POL05753582
PAY66515667,45027,678.58,Credit Card,Failed,POL81378407
PAY89650680,44822,983.27,Cash,Successful,POL80649448
PAY16960799,45370,1040.09,Bank Transfer,Failed,POL97112066
PAY98435007,44973,592.74,Bank Transfer,Successful,POL57676193
PAY35424365,45226,1342.64,Cash,Successful,POL72902683
PAY32239961,44610,1375.39,Credit Card,Successful,POL03258103
PAY07717811,45404,454.05,Cash,Successful,POL01510023
PAY07385568,45525,60.87,Cash,Failed,POL12062320
PAY35934033,45234,218.88,Credit Card,Failed,POL00464071
PAY05547034,45036,339.75,Cash,Successful,POL05441250
PAY76069886,45115,476.79,Bank Transfer,Successful,POL32327074
PAY28466189,45226,905.2,Credit Card,Failed,POL96375176
PAY74049187,44785,923.33,Bank Transfer,Successful,POL19826464
PAY17087890,44666,1039.18,Bank Transfer,Successful,POL91395324
PAY18572695,45600,1047.9,Bank Transfer,Failed,POL54636446
PAY88791048,44685,747.88,Credit Card,Successful,POL61024790
PAY04696936,45188,1043.16,Credit Card,Successful,POL50630686
PAY87105766,45127,476.32,Bank Transfer,Successful,POL35635488
PAY45665435,44615,1235.59,Bank Transfer,Failed,POL99808089
PAY90265940,45129,1419.14,Bank Transfer,Successful,POL07908129
PAY29251948,45132,535.76,Cash,Failed,POL33388431
PAY53725384,44606,1220.04,Credit Card,Failed,POL50060227
PAY74738998,45350,702.43,Bank Transfer,Failed,POL33328438
PAY08565753,45160,1263.87,Bank Transfer,Successful,POL11103169
PAY05430532,44753,601.51,Cash,Failed,POL13276567
PAY44880302,44951,1495.37,Cash,Failed,POL32979560
PAY75089693,45227,1333.28,Cash,Failed,POL14011432
PAY00328286,45289,1248.62,Bank Transfer,Successful,POL36934313
PAY51861429,44778,191.94,Credit Card,Successful,POL22375772
PAY71493232,45548,419.78,Credit Card,Failed,POL91111316
PAY92515856,44592,881.62,Credit Card,Successful,POL44317279
PAY26145331,44958,575.23,Cash,Failed,POL64631990
PAY74049033,45544,381.46,Credit Card,Failed,POL47001756
PAY37123975,45224,944.46,Bank Transfer,Successful,POL82524320
PAY16632104,45305,79.92,Credit Card,Failed,POL82064166
PAY46290766,45492,855.33,Cash,Failed,POL57660624
PAY19940628,44682,456.32,Cash,Failed,POL73294320
PAY56538351,45433,982.78,Credit Card,Successful,POL70827381
PAY56380148,45256,1342.22,Bank Transfer,Successful,POL20686006
PAY34985270,44975,366.28,Bank Transfer,Successful,POL70589278
PAY78932606,45274,748.56,Credit Card,Successful,POL24987681
PAY23829876,45263,135.38,Bank Transfer,Failed,POL19466046
PAY38478444,45277,1329.3,Bank Transfer,Successful,POL17842339
PAY61142676,45483,635.25,Cash,Failed,POL04837231
PAY78239031,44642,865.86,Cash,Failed,POL21160213
PAY44936377,45174,692.13,Bank Transfer,Successful,POL81437012
PAY04257804,45293,634.52,Cash,Failed,POL95251783
PAY98300849,44839,263.48,Credit Card,Failed,POL00074761
PAY71747781,44689,1299.37,Cash,Failed,POL15525439
PAY55230747,45337,526.18,Cash,Failed,POL03121117
PAY43981551,44560,1426.28,Credit Card,Successful,POL57167179
PAY80223678,45448,1444.08,Credit Card,Successful,POL79741032
PAY34267439,45013,618.35,Credit Card,Failed,POL41691326
PAY65786868,44558,740.24,Cash,Successful,POL42477290
PAY95013189,44873,705.89,Credit Card,Successful,POL49350723
PAY64017859,44573,263.71,Credit Card,Successful,POL32964708
PAY48765599,45092,695.35,Cash,Failed,POL91241306
PAY52093315,45324,1321.74,Credit Card,Successful,POL24186172
PAY75678998,45248,737.89,Bank Transfer,Successful,POL25998313
PAY59971920,45512,248.93,Credit Card,Failed,POL57724014
PAY17861573,44721,1386.33,Cash,Successful,POL58933149
PAY25476524,44638,575.39,Bank Transfer,Failed,POL42862009
PAY34549007,44748,640.64,Cash,Successful,POL90242414
PAY33550594,45575,1308.99,Credit Card,Successful,POL96697698
PAY76462274,44700,687.56,Cash,Failed,POL60911272
PAY44035637,44922,472.85,Cash,Failed,POL12388538
PAY67243882,45181,566.98,Cash,Successful,POL10684748
PAY80371790,44933,321.41,Bank Transfer,Failed,POL49874464
PAY81592136,45140,1265.34,Credit Card,Successful,POL14835880
PAY99475523,44882,1127.12,Cash,Failed,POL17421087
PAY39322994,44977,732.39,Credit Card,Failed,POL29750466
PAY47965507,44612,427.18,Credit Card,Successful,POL90750748
PAY39347730,44634,691.59,Bank Transfer,Failed,POL45410336
PAY61536379,44574,166.38,Cash,Successful,POL86004596
PAY74319811,45292,1072.81,Cash,Successful,POL14909944
PAY46223051,45065,796.53,Bank Transfer,Failed,POL86820277
PAY70976171,44941,498.76,Credit Card,Successful,POL20039357
PAY24040077,44683,1034.15,Cash,Successful,POL84891597
PAY92955601,45343,1328.42,Bank Transfer,Successful,POL42513263
PAY84847044,45254,289.41,Bank Transfer,Successful,POL77315241
PAY10317274,45471,316.13,Bank Transfer,Failed,POL67118908
PAY10733246,45639,599.88,Cash,Failed,POL77060064
PAY95166771,44625,215.01,Credit Card,Failed,POL09901587
PAY48591985,45340,1074.93,Credit Card,Successful,POL38989710
PAY06939826,45562,209.53,Cash,Successful,POL19362691
PAY03229214,45447,75.19,Credit Card,Failed,POL67451011
PAY22742191,45475,1142.97,Credit Card,Failed,POL99353162
PAY78050430,45527,619.46,Bank Transfer,Successful,POL13762609
PAY52781983,45274,1483.54,Cash,Successful,POL56397262
PAY28896448,45611,1018.23,Cash,Failed,POL84222350
PAY46041040,44809,589.12,Cash,Failed,POL54969569
PAY07265781,45366,855.63,Credit Card,Failed,POL99720690
PAY44958020,45630,1219.01,Credit Card,Failed,POL37551406
PAY15862255,45569,220.7,Cash,Failed,POL67611471
PAY94079501,45597,618.4,Bank Transfer,Failed,POL96461175
PAY09333061,45459,382,Bank Transfer,Successful,POL05276181
PAY69655430,45211,1085.09,Cash,Failed,POL06836904
PAY50916372,45462,489.63,Bank Transfer,Failed,POL84035014
PAY22298622,45456,144.93,Bank Transfer,Successful,POL13670918
PAY78807454,45280,1117.16,Bank Transfer,Failed,POL85437892
PAY94072664,45598,697.53,Credit Card,Successful,POL73143221
PAY18883331,45102,593.23,Cash,Failed,POL68469433
PAY15417188,44830,216.12,Cash,Failed,POL52076686
PAY49739481,45404,1200.17,Cash,Failed,POL86299537
PAY45709079,45009,279.12,Bank Transfer,Failed,POL19362691
PAY80027727,45132,1125.27,Bank Transfer,Failed,POL42604699
PAY20091109,45229,631.29,Bank Transfer,Failed,POL42401961
PAY82965222,45476,249.82,Credit Card,Failed,POL43027986
PAY23764146,45066,61.91,Credit Card,Successful,POL43572641
PAY76442418,44899,509.88,Bank Transfer,Failed,POL57578050
PAY84200554,45581,333.99,Credit Card,Successful,POL26905808
PAY24682194,45641,236.58,Bank Transfer,Successful,POL29207851
PAY91540548,45645,970.17,Cash,Failed,POL22702092
PAY73026216,44663,494.51,Cash,Failed,POL16711858
PAY98673290,44685,120.56,Credit Card,Failed,POL18418327
PAY45600978,45430,589.32,Bank Transfer,Successful,POL85944273
PAY62597010,44808,1269.31,Bank Transfer,Failed,POL19547939
PAY51358513,45489,1412.44,Cash,Failed,POL78045083
PAY33576684,45572,1422.84,Bank Transfer,Failed,POL75183965
PAY08415929,45376,914.42,Cash,Failed,POL15219398
PAY41733387,45588,1345.69,Credit Card,Successful,POL32822609
PAY11428194,44763,310.03,Bank Transfer,Failed,POL79030894
PAY51348113,45277,138.98,Bank Transfer,Failed,POL19452120
PAY05362944,44752,239.29,Bank Transfer,Failed,POL51223603
PAY96685173,45298,729.13,Credit Card,Successful,POL10635229
PAY21577015,45267,1498.26,Cash,Successful,POL69142405
PAY12913106,45062,107.2,Credit Card,Failed,POL10731593
PAY76611389,44994,1158.83,Credit Card,Successful,POL50893138
PAY45668007,44984,310.28,Cash,Failed,POL42954389
PAY00073745,45458,480.67,Cash,Failed,POL90777171
PAY90477460,44861,64.26,Cash,Failed,POL97865190
PAY14315324,45487,483.43,Cash,Successful,POL74637013
PAY29065356,45560,1178.38,Credit Card,Failed,POL11850737
PAY45032485,45637,688.24,Cash,Successful,POL15495647
PAY26425649,44696,1166.02,Credit Card,Failed,POL30184185
PAY35348172,45497,363.71,Credit Card,Successful,POL80143604
PAY28242866,44610,63.73,Bank Transfer,Successful,POL59246614
PAY82603461,45470,954.33,Credit Card,Successful,POL64702950
PAY58093842,44879,1008.02,Cash,Failed,POL03406980
PAY20523323,45398,1196.53,Bank Transfer,Failed,POL84309166
PAY68405558,45040,880.93,Credit Card,Successful,POL64074481
PAY95466843,45171,301.79,Credit Card,Failed,POL27274188
PAY64755885,45551,139.65,Credit Card,Successful,POL86871699
PAY01445652,45052,671.31,Credit Card,Successful,POL12925982
PAY30293317,45030,338.87,Cash,Failed,POL47741439
PAY25137306,45027,220.61,Bank Transfer,Failed,POL45059272
PAY05595847,44817,277.3,Cash,Failed,POL35313589
PAY63042600,44676,1208.99,Cash,Successful,POL81550647
PAY99006925,45464,352.1,Credit Card,Failed,POL55024911
PAY36135990,45067,979.04,Cash,Successful,POL02642777
PAY83571989,45457,1077.54,Credit Card,Failed,POL11880653
PAY40818515,45074,543.85,Bank Transfer,Failed,POL03021304
PAY28013374,44855,983.29,Cash,Failed,POL05346693
PAY46378598,45283,1498.85,Credit Card,Successful,POL75494464
PAY93078025,45576,1414.08,Bank Transfer,Successful,POL76101411
PAY45286238,45193,53.54,Credit Card,Successful,POL99061249
PAY61934044,45512,367.9,Cash,Successful,POL09607318
PAY18839038,45643,277.54,Cash,Failed,POL81378407
PAY15344153,45185,354.91,Credit Card,Failed,POL32721241
PAY64384074,44731,163.52,Credit Card,Failed,POL19469435
PAY81416936,45094,1231.67,Cash,Successful,POL64668667
PAY38165258,45408,379.37,Cash,Successful,POL27717636
PAY86938473,44798,600.95,Credit Card,Successful,POL92252183
PAY65241954,45424,819.78,Cash,Successful,POL19062916
PAY14557071,45340,512.27,Credit Card,Failed,POL95259878
PAY66250276,45586,1411.08,Cash,Failed,POL66040683
PAY58809936,45398,1413.41,Bank Transfer,Failed,POL19136648
PAY30970874,45101,805.67,Cash,Successful,POL35209226
PAY91226709,45122,56.25,Credit Card,Successful,POL19255943
PAY58715807,44689,484.68,Bank Transfer,Successful,POL72000232
PAY26428321,45539,1313.12,Credit Card,Successful,POL04572453
PAY69635387,45430,635.71,Bank Transfer,Successful,POL29704529
PAY17725554,45376,1368.78,Bank Transfer,Failed,POL52900081
PAY02776885,45140,698.1,Credit Card,Successful,POL88760778
PAY79926868,45507,403.35,Cash,Successful,POL07768534
PAY83630948,45160,370.82,Cash,Successful,POL45795232
PAY08345803,45604,388.66,Bank Transfer,Successful,POL88709617
PAY93421423,44971,840.57,Cash,Failed,POL21259654
PAY48559012,45110,110.01,Cash,Failed,POL36025605
PAY05979806,45526,1338.3,Cash,Successful,POL07319671
PAY45757402,44955,1242.02,Credit Card,Successful,POL35020187
PAY42345588,45622,183.98,Bank Transfer,Successful,POL30766028
PAY55798203,44561,1305.16,Cash,Failed,POL98087224
PAY80245453,45593,794.66,Cash,Successful,POL59742494
PAY27696744,44731,1053.01,Cash,Successful,POL84536532
PAY84248980,45549,965,Credit Card,Failed,POL74617245
PAY41476024,44838,235.25,Bank Transfer,Failed,POL83318258
PAY53216630,44575,848.59,Cash,Successful,POL69269293
PAY02027502,45489,949.32,Cash,Successful,POL95434233
PAY44001923,45275,505.53,Bank Transfer,Failed,POL53680608
PAY53571718,44564,1398.06,Credit Card,Successful,POL75119597
PAY65984994,45426,742.02,Cash,Successful,POL31150343
PAY89438783,44785,191.87,Bank Transfer,Successful,POL17406107
PAY73368435,44963,1059.99,Bank Transfer,Failed,POL82970640
PAY80478857,44979,639.98,Cash,Successful,POL98813677
PAY49717271,44621,1023.31,Bank Transfer,Successful,POL96147285
PAY73362075,45555,156.53,Credit Card,Failed,POL18969442
PAY54763222,44833,514.97,Bank Transfer,Successful,POL58933149
PAY88331240,45015,466.09,Credit Card,Successful,POL25611191
PAY41538241,44950,319.7,Cash,Failed,POL31533848
PAY09932366,45455,210.66,Credit Card,Successful,POL28044403
PAY89389003,45509,1131.86,Cash,Successful,POL76937321
PAY31887984,45338,532.08,Cash,Successful,POL23016733
PAY63713698,45238,278.94,Credit Card,Failed,POL32368471
PAY82419622,45285,791.86,Cash,Successful,POL49354428
PAY15830811,45179,1235.86,Bank Transfer,Successful,POL81238149
PAY84149184,45080,1186.69,Cash,Failed,POL95381092
PAY08954915,45611,1466.38,Bank Transfer,Successful,POL06550384
PAY93556058,45582,543.35,Bank Transfer,Successful,POL70096611
PAY70956274,44983,1206.61,Cash,Successful,POL38653037
PAY68257403,44968,1321.51,Cash,Successful,POL78314103
PAY20476296,45251,532.93,Cash,Successful,POL62323938
PAY23883850,45472,361.63,Credit Card,Failed,POL31178570
PAY66606738,44609,163.78,Credit Card,Successful,POL43986389
PAY57569366,45123,1233.34,Credit Card,Successful,POL73772747
PAY10945418,45199,947.05,Credit Card,Failed,POL07522607
PAY81107822,44783,702.12,Credit Card,Successful,POL93108727
PAY11114341,44897,782.53,Bank Transfer,Successful,POL98060005
PAY47408369,44957,1201.2,Credit Card,Successful,POL18867984
PAY77955090,45535,984.83,Credit Card,Failed,POL40234969
PAY23166677,45599,1346.97,Bank Transfer,Failed,POL55617113
